SystemDisplayName,EntitlementDisplayName,RulesCount,InTargetSystem
Microsoft Active Directory,ADMIN-AD-Beheer (avo.local/Sample/Groups/ADMIN-AD-Beheer),0,True
Microsoft Active Directory,ADMIN-Beheer (avo.local/Sample/Groups/ADMIN-Beheer),0,True
Microsoft Active Directory,ADMIN-Exchange-Beheer (avo.local/Sample/Groups/ADMIN-Exchange-Beheer),0,True
Microsoft Active Directory,ADMIN-Tier0-Domeinbeheer (avo.local/Sample/Groups/ADMIN-Tier0-Domeinbeheer),0,True
Microsoft Active Directory,APP-Adobe-AcrobatPro (avo.local/Sample/Groups/APP-Adobe-AcrobatPro),0,True
Microsoft Active Directory,APP-CA010-Thuiszorg-Portal (avo.local/Sample/Groups/APP-CA010-Thuiszorg-Portal),1,True
Microsoft Active Directory,APP-CA060-Revalidatie-Portal (avo.local/Sample/Groups/APP-CA060-Revalidatie-Portal),1,True
Microsoft Active Directory,APP-CB12-Dagbesteding-Portal (avo.local/Sample/Groups/APP-CB12-Dagbesteding-Portal),1,True
Microsoft Active Directory,APP-COM05-Communicatie-Portal (avo.local/Sample/Groups/APP-COM05-Communicatie-Portal),0,True
Microsoft Active Directory,APP-CZ08-Begeleiding-Portal (avo.local/Sample/Groups/APP-CZ08-Begeleiding-Portal),1,True
Microsoft Active Directory,APP-Copilot (avo.local/Sample/Groups/APP-Copilot),1,True
Microsoft Active Directory,APP-FAC04-Facilitair-Portal (avo.local/Sample/Groups/APP-FAC04-Facilitair-Portal),0,True
Microsoft Active Directory,APP-FIN01-Financien-Portal (avo.local/Sample/Groups/APP-FIN01-Financien-Portal),1,True
Microsoft Active Directory,APP-HRM02-Personeel-Portal (avo.local/Sample/Groups/APP-HRM02-Personeel-Portal),1,True
Microsoft Active Directory,APP-ICT03-Techniek-Portal (avo.local/Sample/Groups/APP-ICT03-Techniek-Portal),1,True
Microsoft Active Directory,APP-INK08-Inkoop-Portal (avo.local/Sample/Groups/APP-INK08-Inkoop-Portal),1,True
Microsoft Active Directory,APP-Intranet (avo.local/Sample/Groups/APP-Intranet),1,True
Microsoft Active Directory,APP-KWA07-Kwaliteit-Portal (avo.local/Sample/Groups/APP-KWA07-Kwaliteit-Portal),0,True
Microsoft Active Directory,APP-Office365 (avo.local/Sample/Groups/APP-Office365),1,True
Microsoft Active Directory,APP-Planner (avo.local/Sample/Groups/APP-Planner),0,True
Microsoft Active Directory,APP-PowerBI-Pro (avo.local/Sample/Groups/APP-PowerBI-Pro),0,True
Microsoft Active Directory,APP-Project (avo.local/Sample/Groups/APP-Project),0,True
Microsoft Active Directory,APP-Selfservice (avo.local/Sample/Groups/APP-Selfservice),0,True
Microsoft Active Directory,APP-Teams (avo.local/Sample/Groups/APP-Teams),1,True
Microsoft Active Directory,APP-Visio (avo.local/Sample/Groups/APP-Visio),0,True
Microsoft Active Directory,APP-ZRG06-Wijkzorg-Portal (avo.local/Sample/Groups/APP-ZRG06-Wijkzorg-Portal),0,True
Microsoft Active Directory,APP-Zorgdossier-Legacy (avo.local/Sample/Groups/APP-Zorgdossier-Legacy),1,False
Microsoft Active Directory,Account,8,True
Microsoft Active Directory,DB-SQL-Service (avo.local/Sample/Groups/DB-SQL-Service),0,True
Microsoft Active Directory,FS-CA010-Thuiszorg-RO (avo.local/Sample/Groups/FS-CA010-Thuiszorg-RO),1,False
Microsoft Active Directory,FS-CA010-Thuiszorg-RW (avo.local/Sample/Groups/FS-CA010-Thuiszorg-RW),1,True
Microsoft Active Directory,FS-CA060-Revalidatie-RO (avo.local/Sample/Groups/FS-CA060-Revalidatie-RO),1,True
Microsoft Active Directory,FS-CA060-Revalidatie-RW (avo.local/Sample/Groups/FS-CA060-Revalidatie-RW),1,True
Microsoft Active Directory,FS-CB12-Dagbesteding-RO (avo.local/Sample/Groups/FS-CB12-Dagbesteding-RO),1,True
