Name,EntitlementCount,PersonsLatestEvaluation,Categories,Status,Conditions,Entitlements
Toegang - Thuiszorg,5,10,Afdeling,published,"Person: active|Time frame: days before start date: 14, days after end date: 0|Department.ExternalId, one of: CA010",Microsoft Active Directory - Account|Microsoft Active Directory - APP-CA010-Thuiszorg-Portal (avo.local/Sample/Groups/APP-CA010-Thuiszorg-Portal)|Microsoft Active Directory - FS-CA010-Thuiszorg-RO (avo.local/Sample/Groups/FS-CA010-Thuiszorg-RO)|Microsoft Active Directory - FS-CA010-Thuiszorg-RW (avo.local/Sample/Groups/FS-CA010-Thuiszorg-RW)|Microsoft Active Directory - TEAM-CA010-Thuiszorg (avo.local/Sample/Groups/TEAM-CA010-Thuiszorg)
Toegang - Revalidatie,5,50,Afdeling,published,"Person: active|Time frame: days before start date: 14, days after end date: 0|Department.ExternalId, one of: CA060",Microsoft Active Directory - Account|Microsoft Active Directory - APP-CA060-Revalidatie-Portal (avo.local/Sample/Groups/APP-CA060-Revalidatie-Portal)|Microsoft Active Directory - FS-CA060-Revalidatie-RO (avo.local/Sample/Groups/FS-CA060-Revalidatie-RO)|Microsoft Active Directory - FS-CA060-Revalidatie-RW (avo.local/Sample/Groups/FS-CA060-Revalidatie-RW)|Microsoft Active Directory - TEAM-CA060-Revalidatie (avo.local/Sample/Groups/TEAM-CA060-Revalidatie)
Toegang - Begeleiding,5,6,Afdeling,published,"Person: active|Time frame: days before start date: 14, days after end date: 0|Department.ExternalId, one of: CZ08",Microsoft Active Directory - Account|Microsoft Active Directory - APP-CZ08-Begeleiding-Portal (avo.local/Sample/Groups/APP-CZ08-Begeleiding-Portal)|Microsoft Active Directory - FS-CZ08-Begeleiding-RO (avo.local/Sample/Groups/FS-CZ08-Begeleiding-RO)|Microsoft Active Directory - FS-CZ08-Begeleiding-RW (avo.local/Sample/Groups/FS-CZ08-Begeleiding-RW)|Microsoft Active Directory - TEAM-CZ08-Begeleiding (avo.local/Sample/Groups/TEAM-CZ08-Begeleiding)
Toegang - Dagbesteding,5,41,Afdeling,published,"Person: active|Time frame: days before start date: 14, days after end date: 0|Department.ExternalId, one of: CB12",Microsoft Active Directory - Account|Microsoft Active Directory - APP-CB12-Dagbesteding-Portal (avo.local/Sample/Groups/APP-CB12-Dagbesteding-Portal)|Microsoft Active Directory - FS-CB12-Dagbesteding-RO (avo.local/Sample/Groups/FS-CB12-Dagbesteding-RO)|Microsoft Active Directory - FS-CB12-Dagbesteding-RW (avo.local/Sample/Groups/FS-CB12-Dagbesteding-RW)|Microsoft Active Directory - TEAM-CB12-Dagbesteding (avo.local/Sample/Groups/TEAM-CB12-Dagbesteding)
Toegang - Financien,5,46,Afdeling,published,"Person: active|Time frame: days before start date: 14, days after end date: 0|Department.ExternalId, one of: FIN01",Microsoft Active Directory - Account|Microsoft Active Directory - APP-FIN01-Financien-Portal (avo.local/Sample/Groups/APP-FIN01-Financien-Portal)|Microsoft Active Directory - FS-FIN01-Financien-RO (avo.local/Sample/Groups/FS-FIN01-Financien-RO)|Microsoft Active Directory - FS-FIN01-Financien-RW (avo.local/Sample/Groups/FS-FIN01-Financien-RW)|Microsoft Active Directory - TEAM-FIN01-Financien (avo.local/Sample/Groups/TEAM-FIN01-Financien)
Toegang - Personeel,5,11,Afdeling,published,"Person: active|Time frame: days before start date: 14, days after end date: 0|Department.ExternalId, one of: HRM02",Microsoft Active Directory - Account|Microsoft Active Directory - APP-HRM02-Personeel-Portal (avo.local/Sample/Groups/APP-HRM02-Personeel-Portal)|Microsoft Active Directory - FS-HRM02-Personeel-RO (avo.local/Sample/Groups/FS-HRM02-Personeel-RO)|Microsoft Active Directory - FS-HRM02-Personeel-RW (avo.local/Sample/Groups/FS-HRM02-Personeel-RW)|Microsoft Active Directory - TEAM-HRM02-Personeel (avo.local/Sample/Groups/TEAM-HRM02-Personeel)
Toegang - Techniek,5,6,Afdeling,published,"Person: active|Time frame: days before start date: 14, days after end date: 0|Department.ExternalId, one of: ICT03",Microsoft Active Directory - Account|Microsoft Active Directory - APP-ICT03-Techniek-Portal (avo.local/Sample/Groups/APP-ICT03-Techniek-Portal)|Microsoft Active Directory - FS-ICT03-Techniek-RO (avo.local/Sample/Groups/FS-ICT03-Techniek-RO)|Microsoft Active Directory - FS-ICT03-Techniek-RW (avo.local/Sample/Groups/FS-ICT03-Techniek-RW)|Microsoft Active Directory - TEAM-ICT03-Techniek (avo.local/Sample/Groups/TEAM-ICT03-Techniek)
Basis - Alle medewerkers,8,334,Basis,published,Person: active,Microsoft Active Directory - Account|Microsoft Active Directory - SEC-Antivirus (avo.local/Sample/Groups/SEC-Antivirus)|Microsoft Active Directory - SEC-DiskEncryption (avo.local/Sample/Groups/SEC-DiskEncryption)|Microsoft Active Directory - SEC-MFA-Enrolled (avo.local/Sample/Groups/SEC-MFA-Enrolled)|Microsoft Active Directory - SEC-Endpoint-Protection (avo.local/Sample/Groups/SEC-Endpoint-Protection)|Microsoft Active Directory - APP-Intranet (avo.local/Sample/Groups/APP-Intranet)|Microsoft Active Directory - APP-Office365 (avo.local/Sample/Groups/APP-Office365)|Microsoft Active Directory - APP-Teams (avo.local/Sample/Groups/APP-Teams)
Applicatie - Copilot voor casemanagers,1,0,Applicatie,published,"Person: active|Title.Name, one of: Casemanager, Begeleider niveau 1",Microsoft Active Directory - APP-Copilot (avo.local/Sample/Groups/APP-Copilot)
Concept - Inkoop,3,0,Afdeling,draft,"Person: active|Department.ExternalId, one of: INK08",Microsoft Active Directory - APP-INK08-Inkoop-Portal (avo.local/Sample/Groups/APP-INK08-Inkoop-Portal)|Microsoft Active Directory - FS-INK08-Inkoop-RO (avo.local/Sample/Groups/FS-INK08-Inkoop-RO)|Microsoft Active Directory - FS-INK08-Inkoop-RW (avo.local/Sample/Groups/FS-INK08-Inkoop-RW)
